Algoritmo;Alfa;Improve
Fast Greedy;0.38;1
Fast Greedy;0.37;1
Fast Greedy;0.36;1
Fast Greedy;0.35;1
Fast Greedy;0.34;1
Fast Greedy;0.33;1
Fast Greedy;0.32;1
Fast Greedy;0.31;1
Fast Greedy;0.3;1
Fast Greedy;0.29;1
Fast Greedy;0.28;1
Fast Greedy;0.27;1
Fast Greedy;0.26;1
Fast Greedy;0.25;1
Fast Greedy;0.24;1
Fast Greedy;0.23;1
Fast Greedy;0.22;1
Fast Greedy;0.21;1
Fast Greedy;0.2;1
Fast Greedy;0.19;1
Fast Greedy;0.18;1
Fast Greedy;0.17;1
Fast Greedy;0.16;1
Fast Greedy;0.15;1
Fast Greedy;0.14;1
Fast Greedy;0.13;1
Fast Greedy;0.12;1
Fast Greedy;0.11;1
Fast Greedy;0.1;1
Fast Greedy;0.09;1
Fast Greedy;0.08;1
Fast Greedy;0.07;1
Fast Greedy;0.06;1
Fast Greedy;0.05;1
Fast Greedy;0.04;1
Fast Greedy;0.03;1
Fast Greedy;0.02;1
Fast Greedy;0.01;1
Fast Greedy;0.0;1
Surprise;0.99;0
Surprise;0.98;0
Surprise;0.97;0
Surprise;0.96;0
Surprise;0.95;0
Surprise;0.94;0
Surprise;0.93;0
Surprise;0.92;0
Surprise;0.91;0
Surprise;0.9;0
Surprise;0.89;0
Surprise;0.88;0
Surprise;0.87;1
Surprise;0.86;1
Surprise;0.85;1
Surprise;0.84;1
Surprise;0.83;1
Surprise;0.82;1
Surprise;0.81;1
Surprise;0.8;1
Surprise;0.79;1
Surprise;0.78;1
Surprise;0.77;1
Surprise;0.76;1
Surprise;0.75;1
Surprise;0.74;1
Surprise;0.73;1
Surprise;0.72;1
Surprise;0.71;1
Surprise;0.7;1
Surprise;0.69;1
Surprise;0.68;1
Surprise;0.67;1
Surprise;0.66;1
Surprise;0.65;1
Surprise;0.64;1
Surprise;0.63;1
Surprise;0.62;1
Surprise;0.61;1
Surprise;0.6;1
Surprise;0.59;1
Surprise;0.58;1
Surprise;0.57;1
Surprise;0.56;1
Surprise;0.55;1
Surprise;0.54;1
Surprise;0.53;1
Surprise;0.52;1
Surprise;0.51;1
Surprise;0.5;1
Surprise;0.49;1
Surprise;0.48;1
Surprise;0.47;1
Surprise;0.46;1
Surprise;0.45;1
Surprise;0.44;1
Surprise;0.43;1
Surprise;0.42;1
Surprise;0.41;1
Surprise;0.4;1
Surprise;0.39;1
Surprise;0.38;1
Surprise;0.37;1
Surprise;0.36;1
Surprise;0.35;1
Surprise;0.34;1
Surprise;0.33;1
Surprise;0.32;1
Surprise;0.31;1
Surprise;0.3;1
Surprise;0.29;1
Surprise;0.28;1
Surprise;0.27;1
Surprise;0.26;1
Surprise;0.25;1
Surprise;0.24;1
Surprise;0.23;1
Surprise;0.22;1
Surprise;0.21;1
Surprise;0.2;1
Surprise;0.19;1
Surprise;0.18;1
Surprise;0.17;1
Surprise;0.16;1
Surprise;0.15;1
Surprise;0.14;1
Surprise;0.13;1
Surprise;0.12;1
Surprise;0.11;1
Surprise;0.1;1
Surprise;0.09;1
Surprise;0.08;1
Surprise;0.07;1
